"gid","sum","sum-2"
13,"135429.524315608","159623.42573598"
31,"130719.877891425","52312.4070826076"
46,"174382.276102635","40279.7325370388"
62,"156909.207462998","40926.9184960868"
74,"79671.5022578044","145763.852339393"
83,"70486.3043868726","214482.074800208"
99,"109490.00136929","193957.238584039"
100,"96067.2966981817","139356.300070363"
109,"94893.8239560499","33961.2454938018"
110,"91251.2603405506","141339.951879047"
111,"122804.19776447","140027.802359875"
112,"104425.684111355","73662.4770683988"
113,"92471.7925410982","177814.428752313"
114,"119410.322679356","145293.886002696"
115,"132363.081016497","74435.6804394319"
116,"129367.630801738","174537.35944136"
117,"60785.5633137615","210393.804480168"
118,"53510.4703912238","165271.927171967"
178,"81194.3995615661","127961.516559706"
179,"63265.3211692137","180502.460769319"
180,"115045.485746488","106968.790385035"
181,"99661.865472583","63015.5767671485"
182,"117122.745673957","153775.453628594"
183,"135735.219237717","164600.817158164"
184,"151414.695420226","34406.8602962643"
197,"124495.298623254","121028.999993079"
222,"109900.096811718","72438.3305160058"
231,"66378.3091064522","189550.279909045"
250,"128223.173128258","61014.4917501138"
256,"134736.207882143","129562.88792953"
268,"40231.8141911501","190745.912438593"
291,"125751.400736795","172347.724009699"
310,"115151.424348673","148825.158847564"
322,"152136.920632038","188077.439427349"
431,"47465.9507449427","193600.788027109"
439,"94262.2997473638","30717.6090759925"
