"gid","hispanic","white","black","native","asian"
439,426370,115512,106823,1093,16223
117,91562,515967,75000,4127,7319
179,164556,447716,69126,2613,15525
111,175317,367432,75562,1521,88269
291,137018,494251,48463,2791,19462
100,173444,405511,93083,1369,30845
112,571665,117310,12446,824,8347
431,264476,424983,26712,2331,6462
115,487423,162649,35984,769,20817
250,440633,176435,62543,1206,9809
110,168232,372305,141190,1696,20917
13,193277,331135,107545,1602,134305
116,114806,457328,67628,2627,103050
113,164025,452791,59459,2603,22769
322,204495,453088,23037,1248,21397
178,369991,296514,37478,1223,10188
183,210595,406188,76286,1061,39338
184,269651,82912,262280,1142,79099
46,264236,110509,312793,965,11920
99,136792,515504,55497,2406,43560
83,156131,500310,55140,2616,18192
118,254272,396522,41433,2445,9223
74,192314,387616,101810,2324,13105
231,118024,444216,124946,2170,8093
182,178535,440703,81976,1913,33198
62,289706,114517,268355,812,25937
222,553015,121421,29403,1006,5903
268,181966,460835,36754,3569,13371
310,162551,371317,139166,2097,34622
109,534232,72014,71269,1129,9954
180,508687,180102,20392,2695,8987
256,194400,360980,86731,1462,57153
31,575532,107859,25247,1653,8545
197,223049,324846,89910,758,73969
181,606467,100957,9121,541,4200
114,231125,358140,77274,1731,52734
